Sprint 2 Timesheet;;;;;;;;;;;;;;;;;
;;TIME;;;;;;;;;;;;;;;Hours
DAY;;8AM;9AM;10AM;11AM;12AM;1PM;2PM;3PM;4PM;5PM;6PM;7PM;8PM;9PM;10PM;
Tue 21 Nov;;;Travel;Toggl Sheet 15min, Blog CSS rest;Blog css;blog css;blog, reflection;#781 2.0 Udacity  HTML and CSS Lesson 1;;#780 2.1 Udacity Practice;;#779 2.2 Technical Blog Part 1 (Udacity Reflection);travel;;Extra;Extra;5
Wed 22 Nov;;;;;;#778 2.3 Udacity HTML and CSS Lesson 2;;Weekly checkin;Break;Break;#777 2.4 Technical Blog Part 2 (Udacity Reflection);Complete Blog Overhaul;;;;;9
Thur 23 Nov;;;;#775 2.5 Pay off some technical debt;;#774 2.6 Cultural Blog;#776 2.7 Reflection;Timesheet;;;;;;;;;5
;;;;;;;;;;;;;Total Hrs:;;19;;
Key:;;S1 Stuff;;;;;;;;;;;;;;;
;Other activity;;;;;;;;;;;;;;;;
