Client,Project,Registered time,Billable time,Amount ()
,Command line,02:19:04,,
,Create website,02:54:38,,
,GitHub,03:33:22,,
,Html and CSS,00:00:57,,
,Meet your cohort,00:09:36,,
,Reflection,00:08:37,,
