Client,Project,Registered time,Billable time,Amount ()
,CSS frameworks and responsive layouts,03:31:53,,
,Cultural blog,01:24:32,,
,Reflection,00:35:35,,
,Sprint 2,00:39:11,,
,Technical Blog Part 1 (Udacity Reflection),00:46:53,,
,Technical debt,02:16:15,,
,Udacity lesson 1,03:32:09,,
,Udacity practice,00:38:20,,
