Client,Project,Registered time,Billable time,Amount ()
EDA Dev Academy,Misc,0:45:00,,
EDA Dev Academy,Sprint 2,31:18:10,,
EDA Dev Academy,Sprint 3,1:52:59,,
,,0:00:03,,
