Client,Project,Registered time,Billable time,Amount ()
Enspiral Dev Academy,Phase 0,00:11:48,,
Enspiral Dev Academy,Sprint 1,00:09:24,,
,Sprint 2,01:39:13,,
Enspiral Dev Academy,Sprint 3,14:05:41,,
